database	native_type	general_type	ddl_string	test	stats_allowed	Comment	
bigquery	geography	string	col_geography geography	FALSE	FALSE		
bigquery	integer	bigint	col_integer integer	TRUE	TRUE		
bigquery	int64	bigint	col_int64 int64	TRUE	TRUE		
bigquery	int64	bigint	col_int64 int64	TRUE	TRUE		
bigquery	numeric	decimal	col_numeric numeric	TRUE	TRUE		
bigquery	bignumeric	decimal	col_bignumeric bignumeric	TRUE	TRUE		
bigquery	string	text	col_string string	TRUE	TRUE		
bigquery	json	json		FALSE	FALSE		
bigquery	struct	json		FALSE	FALSE		
bigquery	time	time	col_time time	FALSE	FALSE		
bigquery	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE		
clickhouse	array	json	col_array array	FALSE	FALSE		
clickhouse	uuid	uuid	col_uuid array	FALSE	FALSE		
clickhouse	date	date	col_date date	TRUE	TRUE		
clickhouse	datetime	datetime	col_datetime datetime	TRUE	TRUE		
clickhouse	datetime64	datetime	col_datetime64 datetime64	TRUE	TRUE		
clickhouse	decimal	decimal	col_decimal decimal	TRUE	TRUE		
clickhouse	enum	string	col_enum enum	FALSE	FALSE		
clickhouse	fixedstring	text	col_fixedstring fixedstring	TRUE	TRUE		
clickhouse	float32	float	col_float32 float32	TRUE	TRUE		
clickhouse	float64	float	col_float64 float64	TRUE	TRUE		
clickhouse	int16	smallint	col_int16 int16	TRUE	TRUE		
clickhouse	int32	bigint	col_int32 int32	TRUE	TRUE		
clickhouse	int64	bigint	col_int64 int64	TRUE	TRUE		
clickhouse	int8	integer	col_int8 int8	TRUE	TRUE		
clickhouse	string	text	col_string string	TRUE	TRUE		
clickhouse	tuple	string	col_tuple tuple	TRUE	TRUE		
clickhouse	uint16	integer	col_uint16 uint16	TRUE	TRUE		
clickhouse	uint32	bigint	col_uint32 uint32	TRUE	TRUE		
clickhouse	uint64	decimal(28,0)	col_uint64 uint64	TRUE	TRUE		
clickhouse	uint8	integer	col_uint8 uint8	TRUE	TRUE		
clickhouse	json	json	col_json json	FALSE	FALSE		
clickhouse	map	json	col_map json	FALSE	FALSE		
clickhouse	lowcardinality	string	col_lowcardinality json	FALSE	FALSE		
clickhouse	enum8	string	col_enum8 json	FALSE	FALSE		
clickhouse	ipv6	string	col_enum8 json	FALSE	FALSE		
duckdb	bigint	bigint	col_bigint bigint	TRUE	TRUE	A large integer	
duckdb	binary	binary	col_binary binary(100)	TRUE	TRUE	A fixed-length binary string	
duckdb	blob	binary	col_blob blob	TRUE	TRUE	A small BLOB	
duckdb	char	string	col_char char(17)	TRUE	TRUE	A fixed-length nonbinary (character) string	
duckdb	date	date	col_date date	TRUE	TRUE	A date value in CCYY-MM-DD format	
duckdb	datetime	datetime	col_datetime datetime	TRUE	TRUE	A date and time value inCCYY-MM-DD hh:mm:ssformat	
duckdb	decimal	decimal	col_decimal decimal	TRUE	TRUE	A fixed-point number	
duckdb	double	float	col_double double	TRUE	TRUE	A double-precision floating point number	
duckdb	enum	string	col_enum enum ('value1','value2','value3')	FALSE	FALSE	An enumeration; each column value may be assigned one enumeration member	
duckdb	float	float	col_float float	TRUE	TRUE	A single-precision floating point number	
duckdb	integer	integer	col_int int	TRUE	TRUE	A standard integer	
duckdb	json	json	col_json json	TRUE	TRUE	JSON Data Type	
duckdb	smallint	smallint	col_smallint smallint	TRUE	TRUE	A small integer	
duckdb	text	text	col_text text	TRUE	TRUE	A small non-binary string	
duckdb	time	time	col_time time	TRUE	TRUE	A time value in hh:mm:ss format	
duckdb	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
duckdb	timestamp with time zone	timestampz	col_timestampz timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
duckdb	tinyblob	text	col_tinyblob tinyblob	TRUE	TRUE	A very small BLOB (binary large object)	
duckdb	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	A very small integer	
duckdb	varchar	text	col_varchar varchar(100)	TRUE	TRUE	A variable-length non-binary string	
duckdb	boolean	bool	col_boolean boolean	TRUE	TRUE		
duckdb	list	text	col_list list	TRUE	TRUE		
duckdb	struct	json	col_struct struct	TRUE	TRUE		
duckdb	map	json	col_map map	TRUE	TRUE		
duckdb	ubigint	bigint	col_ubigint ubigint	TRUE	TRUE		
duckdb	uinteger	bigint	col_uinteger uinteger	TRUE	TRUE		
duckdb	usmallint	integer	col_usmallint usmallint	TRUE	TRUE		
duckdb	utinyint	integer	col_utinyint utinyint	TRUE	TRUE		
duckdb	uuid	uuid	col_uuid uuid	TRUE	TRUE		
duckdb	hugeint	bigint	col_hugeint hugeint	TRUE	TRUE		
duckdb	interval	string	col_interval interval	TRUE	TRUE		
ducklake	bigint	bigint	col_bigint bigint	TRUE	TRUE	A large integer	
ducklake	int64	bigint	col_bigint bigint	TRUE	TRUE	A large integer	
ducklake	binary	binary	col_binary binary(100)	TRUE	TRUE	A fixed-length binary string	
ducklake	blob	binary	col_blob blob	TRUE	TRUE	A small BLOB	
ducklake	char	string	col_char char(17)	TRUE	TRUE	A fixed-length nonbinary (character) string	
ducklake	date	date	col_date date	TRUE	TRUE	A date value in CCYY-MM-DD format	
ducklake	datetime	datetime	col_datetime datetime	TRUE	TRUE	A date and time value inCCYY-MM-DD hh:mm:ssformat	
ducklake	decimal	decimal	col_decimal decimal	TRUE	TRUE	A fixed-point number	
ducklake	double	float	col_double double	TRUE	TRUE	A double-precision floating point number	
ducklake	enum	string	col_enum enum ('value1','value2','value3')	FALSE	FALSE	An enumeration; each column value may be assigned one enumeration member	
ducklake	float	float	col_float float	TRUE	TRUE	A single-precision floating point number	
ducklake	float32	float	col_float float	TRUE	TRUE	A single-precision floating point number	
ducklake	float64	float	col_float float	TRUE	TRUE	A single-precision floating point number	
ducklake	integer	integer	col_int int	TRUE	TRUE	A standard integer	
ducklake	int16	integer	col_int int	TRUE	TRUE	A standard integer	
ducklake	int32	integer	col_int int	TRUE	TRUE	A standard integer	
ducklake	json	json	col_json json	TRUE	TRUE	JSON Data Type	
ducklake	int8	smallint	col_int int	TRUE	TRUE	A standard integer	
ducklake	smallint	smallint	col_smallint smallint	TRUE	TRUE	A small integer	
ducklake	text	text	col_text text	TRUE	TRUE	A small non-binary string	
ducklake	time	time	col_time time	TRUE	TRUE	A time value in hh:mm:ss format	
ducklake	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
ducklake	timestamp_s	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
ducklake	timestamp_ms	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
ducklake	timestamp_ns	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
ducklake	timestamp with time zone	timestampz	col_timestampz timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
ducklake	timestamptz	timestampz	col_timestampz timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
ducklake	tinyblob	text	col_tinyblob tinyblob	TRUE	TRUE	A very small BLOB (binary large object)	
ducklake	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	A very small integer	
ducklake	varchar	text	col_varchar varchar(100)	TRUE	TRUE	A variable-length non-binary string	
ducklake	boolean	bool	col_boolean boolean	TRUE	TRUE		
ducklake	list	text	col_list list	TRUE	TRUE		
ducklake	struct	json	col_struct struct	TRUE	TRUE		
ducklake	map	json	col_map map	TRUE	TRUE		
ducklake	ubigint	bigint	col_ubigint ubigint	TRUE	TRUE		
ducklake	uint8	integer	col_uinteger uinteger	TRUE	TRUE		
ducklake	uint16	integer	col_uinteger uinteger	TRUE	TRUE		
ducklake	uint32	bigint	col_uinteger uinteger	TRUE	TRUE		
ducklake	uint64	bigint	col_uinteger uinteger	TRUE	TRUE		
ducklake	uinteger	bigint	col_uinteger uinteger	TRUE	TRUE		
ducklake	usmallint	integer	col_usmallint usmallint	TRUE	TRUE		
ducklake	utinyint	integer	col_utinyint utinyint	TRUE	TRUE		
ducklake	uuid	uuid	col_uuid uuid	TRUE	TRUE		
ducklake	hugeint	bigint	col_hugeint hugeint	TRUE	TRUE		
ducklake	interval	string	col_interval interval	TRUE	TRUE		
mariadb	bigint	bigint	col_bigint bigint	TRUE	TRUE	A large integer	
mariadb	binary	binary	col_binary binary(100)	TRUE	TRUE	A fixed-length binary string	
mariadb	bit	binary	col_bit bit	FALSE	FALSE	A bit field	
mariadb	blob	text	col_blob blob	TRUE	TRUE	A small BLOB	
mariadb	char	string	col_char char(17)	TRUE	TRUE	A fixed-length nonbinary (character) string	
mariadb	date	date	col_date date	TRUE	TRUE	A date value in CCYY-MM-DD format	
mariadb	datetime	datetime	col_datetime datetime	TRUE	TRUE	A date and time value inCCYY-MM-DD hh:mm:ssformat	
mariadb	decimal	decimal	col_decimal decimal	TRUE	TRUE	A fixed-point number	
mariadb	double	float	col_double double	TRUE	TRUE	A double-precision floating point number	
mariadb	enum	string	col_enum enum ('value1','value2','value3')	FALSE	FALSE	An enumeration; each column value may be assigned one enumeration member	
mariadb	float	float	col_float float	TRUE	TRUE	A single-precision floating point number	
mariadb	geometry	string	col_geometry geometry	FALSE	FALSE	A spatial value of any type	
mariadb	geometrycollection	string	col_geometrycollection geometrycollection	FALSE	FALSE	A collection of GEOMETRYvalues	
mariadb	geomcollection	string		FALSE	FALSE		
mariadb	unsigned int	bigint	col_int int	TRUE	TRUE	A standard integer	
mariadb	int	integer	col_int int	TRUE	TRUE	A standard integer	
mariadb	json	json	col_json json	TRUE	TRUE	JSON Data Type	
mariadb	linestring	string	col_linestring linestring	FALSE	FALSE	A curve (one or more POINT values)	
mariadb	longblob	text	col_longblob longblob	TRUE	TRUE	A large BLOB	
mariadb	longtext	text	col_longtext longtext	TRUE	TRUE	A large non-binary string	
mariadb	mediumblob	text	col_mediumblob mediumblob	TRUE	TRUE	A medium-sized BLOB	
mariadb	mediumint	integer	col_mediumint mediumint	TRUE	TRUE	A medium-sized integer	
mariadb	mediumtext	text	col_mediumtext mediumtext	TRUE	TRUE	A medium-sized non-binary string	
mariadb	multilinestring	string	col_multilinestring multilinestring	FALSE	FALSE	A collection of LINESTRINGvalues	
mariadb	multipoint	string	col_multipoint multipoint	FALSE	FALSE	A collection of POINTvalues	
mariadb	multipolygon	string	col_multipolygon multipolygon	FALSE	FALSE	A collection of POLYGONvalues	
mariadb	point	string	col_point point	FALSE	FALSE	A point (a pair of X-Y coordinates)	
mariadb	polygon	string	col_polygon polygon	FALSE	FALSE	A polygon	
mariadb	set	string	col_set set('one', 'two')	FALSE	FALSE	A set; each column value may be assigned zero or more SET members	
mariadb	smallint	smallint	col_smallint smallint	TRUE	TRUE	A small integer	
mariadb	text	text	col_text text	TRUE	TRUE	A small non-binary string	
mariadb	time	time	col_time time	TRUE	TRUE	A time value in hh:mm:ss format	
mariadb	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
mariadb	tinyblob	text	col_tinyblob tinyblob	TRUE	TRUE	A very small BLOB (binary large object)	
mariadb	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	A very small integer	
mariadb	tinytext	text	col_tinytext tinytext	TRUE	TRUE	A very small non-binary string	
mariadb	varbinary	binary	col_varbinary varbinary(100)	TRUE	FALSE	A variable-length binary string	
mariadb	varchar	text	col_varchar varchar(100)	TRUE	TRUE	A variable-length non-binary string	
mariadb	year	string	col_year year	FALSE	FALSE	A year value in CCYY or YY format	
mongodb	json	json		FALSE	FALSE		
elascticsearch	json	json		FALSE	FALSE		
motherduck	bigint	bigint	col_bigint bigint	TRUE	TRUE	A large integer	
motherduck	binary	binary	col_binary binary(100)	TRUE	TRUE	A fixed-length binary string	
motherduck	blob	binary	col_blob blob	TRUE	TRUE	A small BLOB	
motherduck	char	string	col_char char(17)	TRUE	TRUE	A fixed-length nonbinary (character) string	
motherduck	date	date	col_date date	TRUE	TRUE	A date value in CCYY-MM-DD format	
motherduck	datetime	datetime	col_datetime datetime	TRUE	TRUE	A date and time value inCCYY-MM-DD hh:mm:ssformat	
motherduck	decimal	decimal	col_decimal decimal	TRUE	TRUE	A fixed-point number	
motherduck	double	float	col_double double	TRUE	TRUE	A double-precision floating point number	
motherduck	enum	string	col_enum enum ('value1','value2','value3')	FALSE	FALSE	An enumeration; each column value may be assigned one enumeration member	
motherduck	float	float	col_float float	TRUE	TRUE	A single-precision floating point number	
motherduck	integer	integer	col_int int	TRUE	TRUE	A standard integer	
motherduck	json	json	col_json json	TRUE	TRUE	JSON Data Type	
motherduck	smallint	smallint	col_smallint smallint	TRUE	TRUE	A small integer	
motherduck	text	text	col_text text	TRUE	TRUE	A small non-binary string	
motherduck	time	time	col_time time	TRUE	TRUE	A time value in hh:mm:ss format	
motherduck	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
motherduck	timestamp with time zone	timestampz	col_timestampz timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
motherduck	tinyblob	text	col_tinyblob tinyblob	TRUE	TRUE	A very small BLOB (binary large object)	
motherduck	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	A very small integer	
motherduck	varchar	text	col_varchar varchar(100)	TRUE	TRUE	A variable-length non-binary string	
motherduck	boolean	bool	col_boolean boolean	TRUE	TRUE		
motherduck	list	text	col_list list	TRUE	TRUE		
motherduck	struct	json	col_struct struct	TRUE	TRUE		
motherduck	map	json	col_map map	TRUE	TRUE		
motherduck	ubigint	bigint	col_ubigint ubigint	TRUE	TRUE		
motherduck	uinteger	bigint	col_uinteger uinteger	TRUE	TRUE		
motherduck	usmallint	integer	col_usmallint usmallint	TRUE	TRUE		
motherduck	utinyint	integer	col_utinyint utinyint	TRUE	TRUE		
motherduck	uuid	uuid	col_uuid uuid	TRUE	TRUE		
motherduck	hugeint	bigint	col_hugeint hugeint	TRUE	TRUE		
motherduck	interval	string	col_interval interval	TRUE	TRUE		
mysql	bigint	bigint	col_bigint bigint	TRUE	TRUE	A large integer	
mysql	binary	binary	col_binary binary(100)	TRUE	TRUE	A fixed-length binary string	
mysql	bit	binary	col_bit bit	FALSE	FALSE	A bit field	
mysql	blob	text	col_blob blob	TRUE	TRUE	A small BLOB	
mysql	char	string	col_char char(17)	TRUE	TRUE	A fixed-length nonbinary (character) string	
mysql	date	date	col_date date	TRUE	TRUE	A date value in CCYY-MM-DD format	
mysql	datetime	datetime	col_datetime datetime	TRUE	TRUE	A date and time value inCCYY-MM-DD hh:mm:ssformat	
mysql	decimal	decimal	col_decimal decimal	TRUE	TRUE	A fixed-point number	
mysql	double	float	col_double double	TRUE	TRUE	A double-precision floating point number	
mysql	enum	string	col_enum enum ('value1','value2','value3')	FALSE	FALSE	An enumeration; each column value may be assigned one enumeration member	
mysql	float	float	col_float float	TRUE	TRUE	A single-precision floating point number	
mysql	geometry	string	col_geometry geometry	FALSE	FALSE	A spatial value of any type	
mysql	geometrycollection	string	col_geometrycollection geometrycollection	FALSE	FALSE	A collection of GEOMETRYvalues	
mysql	geomcollection	string		FALSE	FALSE		
mysql	unsigned int	bigint	col_int int	TRUE	TRUE	A standard integer	
mysql	int	integer	col_int int	TRUE	TRUE	A standard integer	
mysql	json	json	col_json json	TRUE	TRUE	JSON Data Type	
mysql	linestring	string	col_linestring linestring	FALSE	FALSE	A curve (one or more POINT values)	
mysql	longblob	text	col_longblob longblob	TRUE	TRUE	A large BLOB	
mysql	longtext	text	col_longtext longtext	TRUE	TRUE	A large non-binary string	
mysql	mediumblob	text	col_mediumblob mediumblob	TRUE	TRUE	A medium-sized BLOB	
mysql	mediumint	integer	col_mediumint mediumint	TRUE	TRUE	A medium-sized integer	
mysql	mediumtext	text	col_mediumtext mediumtext	TRUE	TRUE	A medium-sized non-binary string	
mysql	multilinestring	string	col_multilinestring multilinestring	FALSE	FALSE	A collection of LINESTRINGvalues	
mysql	multipoint	string	col_multipoint multipoint	FALSE	FALSE	A collection of POINTvalues	
mysql	multipolygon	string	col_multipolygon multipolygon	FALSE	FALSE	A collection of POLYGONvalues	
mysql	point	string	col_point point	FALSE	FALSE	A point (a pair of X-Y coordinates)	
mysql	polygon	string	col_polygon polygon	FALSE	FALSE	A polygon	
mysql	set	string	col_set set('one', 'two')	FALSE	FALSE	A set; each column value may be assigned zero or more SET members	
mysql	smallint	smallint	col_smallint smallint	TRUE	TRUE	A small integer	
mysql	text	text	col_text text	TRUE	TRUE	A small non-binary string	
mysql	time	time	col_time time	TRUE	TRUE	A time value in hh:mm:ss format	
mysql	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	A timestamp value in CCYY-MM-DD hh:mm:ss format	
mysql	tinyblob	text	col_tinyblob tinyblob	TRUE	TRUE	A very small BLOB (binary large object)	
mysql	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	A very small integer	
mysql	tinytext	text	col_tinytext tinytext	TRUE	TRUE	A very small non-binary string	
mysql	varbinary	binary	col_varbinary varbinary(100)	TRUE	FALSE	A variable-length binary string	
mysql	varchar	text	col_varchar varchar(100)	TRUE	TRUE	A variable-length non-binary string	
mysql	year	string	col_year year	FALSE	FALSE	A year value in CCYY or YY format	
oracle	bfile	binary	col_bfile bfile	FALSE	FALSE	Binary data stored in an external file.	
oracle	blob	text	col_blob blob	FALSE	FALSE	Unstructured binary data.	
oracle	char	string	col_char char(17)	TRUE	TRUE	Fixed-length character data of length size bytes.	
oracle	clob	text	col_clob clob	TRUE	TRUE	Single-byte character data.	
oracle	date	datetime	col_date date	TRUE	TRUE	Fixed-length date and time data, ranging from Jan. 1, 4712 B.C.E. to Dec. 31, 4712 C.E.	
oracle	datetime	datetime	col_date datetime	TRUE	TRUE	Fixed-length date and time data, ranging from Jan. 1, 4712 B.C.E. to Dec. 31, 4712 C.E.	
oracle	float	float	col_float float	TRUE	TRUE		
oracle	json	json	col_json json				
oracle	long	string	col_long long	TRUE	FALSE	Variable-length raw binary data.	
oracle	mlslabel	string	col_mlslabel mlslabel	FALSE	FALSE	Trusted Oracle datatype.	
oracle	nchar	string	col_nchar nchar(17)	TRUE	TRUE	Fixed-length character data of length size characters or bytes, depending on the national character set.	
oracle	nclob	text	col_nclob nclob	TRUE	TRUE	Single-byte or fixed-length multibyte national character set (NCHAR) data.	
oracle	number	decimal	col_number number	TRUE	TRUE	Variable-length numeric data. Maximum precision p and/or scale s is 38.	
oracle	nvarchar2	string	col_nvarchar2 nvarchar2(100)	TRUE	TRUE	Variable-length character data of length size characters or bytes, depending on national character set. A maximum size must be specified.	
oracle	raw	binary	col_raw raw(100)	TRUE	FALSE	Variable-length raw binary data.	
oracle	rowid	bigint	col_rowid rowid	FALSE	FALSE	Binary data representing row addresses.	
oracle	timestamp	timestamp	col_ timestamp timestamp	TRUE	TRUE		
oracle	timestampdty	timestamp	" "	FALSE	FALSE		
oracle	timestamptz	timestampz	" "	FALSE	FALSE		
oracle	timestamptz_dty	timestampz	" "	FALSE	FALSE		
oracle	varchar2	string	col_varchar2 varchar2(100)	TRUE	TRUE	Variable-length character data.	
oracle	longvarchar	string	" "	FALSE	FALSE		
postgres	bigint	bigint	col_bigint bigint	TRUE	TRUE	signed eight-byte integer	
postgres	bigserial	bigint	col_bigserial bigserial	TRUE	TRUE	autoincrementing eight-byte integer	
postgres	bit	bool	col_bit bit	FALSE	FALSE	fixed-length bit string	
postgres	bit varying	string	col_bit_varying bit varying	FALSE	FALSE	variable-length bit string	
postgres	bool	bool	col_bool bool	TRUE	FALSE	logical Boolean (true/false)	
postgres	boolean	bool	col_boolean boolean	TRUE	FALSE	logical Boolean (true/false)	
postgres	box	string	col_box box	FALSE	FALSE	rectangular box on a plane	
postgres	bytea	binary	col_bytea bytea	TRUE	FALSE	binary data (byte array)	
postgres	char	string	col_char char(17)	TRUE	TRUE	fixed-length character string	
postgres	bpchar	string	col_bpchar bpchar(17)	FALSE	TRUE		
postgres	character	string	col_character character(17)	TRUE	TRUE	fixed-length character string	
postgres	character varying	text	col_character_varying character varying	TRUE	TRUE	variable-length character string	
postgres	cidr	string	col_cidr cidr	FALSE	FALSE	IPv4 or IPv6 network address	
postgres	circle	string	col_circle circle	FALSE	FALSE	circle on a plane	
postgres	date	date	col_date date	TRUE	TRUE	calendar date (year, month, day)	
postgres	decimal	decimal	col_decimal decimal	TRUE	TRUE	exact numeric of selectable precision	
postgres	double precision	float	col_double_precision double precision	TRUE	TRUE	double precision floating-point number (8 bytes)	
postgres	float4	float	col_float4 float4	TRUE	TRUE	single precision floating-point number (4 bytes)	
postgres	float8	float	col_float8 float8	TRUE	TRUE	double precision floating-point number (8 bytes)	
postgres	inet	string	col_inet inet	FALSE	FALSE	IPv4 or IPv6 host address	
postgres	int	integer	col_int int	TRUE	TRUE	signed four-byte integer	
postgres	int2	smallint	col_int2 int2	TRUE	TRUE	signed two-byte integer	
postgres	int4	integer	col_int4 int4	TRUE	TRUE	signed four-byte integer	
postgres	int8	bigint	col_int8 int8	TRUE	TRUE	signed eight-byte integer	
postgres	integer	integer	col_integer integer	TRUE	TRUE	signed four-byte integer	
postgres	interval	string	col_interval interval	FALSE	FALSE	time span	
postgres	_uuid	text	col__uuid text	TRUE	TRUE	array of uuid	
postgres	json	json	col_json json	TRUE	TRUE	textual JSON data	
postgres	jsonb	json	col_jsonb jsonb	TRUE	TRUE	binary JSON data, decomposed	
postgres	line	string	col_line line	FALSE	FALSE	infinite line on a plane	
postgres	lseg	string	col_lseg lseg	FALSE	FALSE	line segment on a plane	
postgres	macaddr	string	col_macaddr macaddr	FALSE	FALSE	MAC (Media Access Control) address	
postgres	money	decimal	col_money money	TRUE	TRUE	currency amount	
