database	native_type	general_type	ddl_string	test	stats_allowed	Comment
redshift	character	string	col_character character(17)	TRUE	TRUE	fixed-length character string
redshift	character varying	string	col_character_varying character varying	TRUE	TRUE	variable-length character string
redshift	date	date	col_date date	TRUE	TRUE	calendar date (year, month, day)
redshift	decimal	decimal	col_decimal decimal	TRUE	TRUE	exact numeric of selectable precision
redshift	double precision	float	col_double_precision double precision	TRUE	TRUE	double precision floating-point number
redshift	integer	integer	col_integer integer	TRUE	TRUE	signed four-byte integer
redshift	real	float	col_real real	TRUE	TRUE	single precision floating-point number
redshift	smallint	smallint	col_smallint smallint	TRUE	TRUE	signed two-byte integer
redshift	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	date and time (without time zone)
redshift	timestamp without time zone	timestamp	col_timestamp_without_time_zone timestamp without time zone	TRUE	TRUE	date and time (without time zone)
redshift	timestamptz	timestamp	col_timestamptz timestamptz	TRUE	TRUE	date and time (with time zone)
redshift	timestamp with time zone	timestamp	col_timestamp_with_time_zone timestamp with time zone	TRUE	TRUE	date and time (with time zone)
redshift	int2	smallint	col_int2 int2	TRUE	TRUE	signed four-byte integer
redshift	int4	integer	col_int4 int4	TRUE	TRUE	signed four-byte integer
redshift	int8	bigint	col_int8 int8	TRUE	TRUE	signed eight-byte integer
redshift	float	float	col_float float	TRUE	TRUE	eigth-byte float
redshift	float4	float	col_float4 float4	TRUE	TRUE	four-byte float
redshift	float8	float	col_float8 float8	TRUE	TRUE	eigth-byte float
redshift	numeric	decimal	col_numeric numeric	TRUE	TRUE	exact numeric of selectable precision
redshift	varchar	string	col_varchar varchar	TRUE	TRUE	variable-length character string with a user-defined limit
redshift	name	string		FALSE	FALSE	
snowflake	array	text	col_array array	FALSE	FALSE	
snowflake	bigint	bigint	col_bigint bigint	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	binary	binary	col_binary binary(100)	FALSE	FALSE	
snowflake	boolean	bool	col_boolean boolean	TRUE	TRUE	Currently only supported for accounts provisioned after January 25, 2016.
snowflake	char	string	col_char char(17)	TRUE	TRUE	Synonymous with VARCHAR except default length is VARCHAR(1).
snowflake	character	string	col_character character(17)	TRUE	TRUE	Synonymous with VARCHAR except default length is VARCHAR(1).
snowflake	date	date	col_date date	TRUE	TRUE	
snowflake	datetime	timestamp	col_datetime datetime	TRUE	TRUE	Alias for TIMESTAMP_NTZ
snowflake	decimal	decimal	col_decimal decimal	TRUE	TRUE	Synonymous with NUMBER.
snowflake	double	float	col_double double	TRUE	TRUE	Synonymous with FLOAT.
snowflake	double precision	float	col_double_precision double precision	TRUE	TRUE	Synonymous with FLOAT.
snowflake	fixed	decimal		FALSE	FALSE	
snowflake	float	float	col_float float	TRUE	TRUE	
snowflake	float4	float	col_float4 float4	TRUE	TRUE	
snowflake	float8	float	col_float8 float8	TRUE	TRUE	
snowflake	int	integer	col_int int	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	integer	integer	col_integer integer	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	number	decimal	col_number number	TRUE	TRUE	Default precision and scale are (38,0).
snowflake	numeric	decimal	col_numeric numeric	TRUE	TRUE	Synonymous with NUMBER.
snowflake	object	text	col_object object	FALSE	FALSE	
snowflake	real	float	col_real real	TRUE	TRUE	Synonymous with FLOAT.
snowflake	smallint	smallint	col_smallint smallint	TRUE	TRUE	Synonymous with NUMBER except precision and scale cannot be specified.
snowflake	string	string	col_string string	TRUE	TRUE	Synonymous with VARCHAR.
snowflake	text	text	col_text text	TRUE	TRUE	Synonymous with VARCHAR.
snowflake	time	time	col_time time	TRUE	TRUE	
snowflake	timestamp	timestamp	col_timestamp timestamp	TRUE	TRUE	Alias for one of the TIMESTAMP variations (TIMESTAMP_NTZ by default).
snowflake	timestamp_ltz	timestamp	col_timestamp_ltz timestamp_ltz	TRUE	TRUE	TIMESTAMP with local time zone; time zone, if provided, is not stored.
snowflake	timestamp_ntz	timestamp	col_timestamp_ntz timestamp_ntz	TRUE	TRUE	TIMESTAMP with no time zone; time zone, if provided, is not stored.
snowflake	timestamp_tz	timestamp	col_timestamp_tz timestamp_tz	TRUE	TRUE	TIMESTAMP with time zone.
snowflake	varbinary	binary	col_varbinary varbinary(100)	FALSE	FALSE	Synonymous with BINARY.
snowflake	varchar	string	col_varchar varchar(100)	TRUE	TRUE	Default (and maximum) is 16,777,216 bytes.
snowflake	variant	text	col_variant variant	FALSE	FALSE	
sqlite	blob	text	col_blob blob	TRUE	TRUE	
sqlite	varchar	string	col_varchar varchar	TRUE	TRUE	
sqlite	bigint	bigint	col_bigint bigint	TRUE	TRUE	
sqlite	integer	bigint	col_integer integer	TRUE	TRUE	
sqlite	null	text	col_null null	TRUE	TRUE	
sqlite	real	decimal	col_real real	TRUE	TRUE	
sqlite	decimal	decimal	col_decimal decimal	TRUE	TRUE	
sqlite	date	datetime	col_date date	TRUE	TRUE	
sqlite	text	text	col_text text	TRUE	TRUE	
sqlserver	bigint	bigint	col_bigint bigint	TRUE	TRUE	
sqlserver	binary	binary	col_binary binary(100)	TRUE	FALSE	
sqlserver	bit	smallint	col_bit bit	FALSE	FALSE	
sqlserver	char	string	col_char char(17)	TRUE	TRUE	
sqlserver	date	date	col_date date	TRUE	TRUE	
sqlserver	datetime	datetime	col_datetime datetime	TRUE	TRUE	
sqlserver	datetime2	datetime	col_datetime2 datetime2	TRUE	TRUE	
sqlserver	datetimeoffset	datetime	col_datetimeoffset datetimeoffset	FALSE	FALSE	
sqlserver	decimal	decimal	col_decimal decimal	TRUE	TRUE	
sqlserver	float	float	col_float float	TRUE	TRUE	
sqlserver	image	binary	col_image image	FALSE	FALSE	
sqlserver	int	integer	col_int int	TRUE	TRUE	
sqlserver	money	decimal	col_money money	TRUE	TRUE	
sqlserver	nchar	string	col_nchar nchar(17)	TRUE	TRUE	
sqlserver	ntext	string	col_ntext ntext	TRUE	TRUE	
sqlserver	numeric	decimal	col_numeric numeric	TRUE	TRUE	
sqlserver	nvarchar	string	col_nvarchar nvarchar(100)	TRUE	TRUE	
sqlserver	real	decimal	col_real real	TRUE	TRUE	
sqlserver	smalldatetime	datetime	col_smalldatetime smalldatetime	TRUE	TRUE	
sqlserver	smallint	smallint	col_smallint smallint	TRUE	TRUE	
sqlserver	smallmoney	decimal	col_smallmoney smallmoney	TRUE	TRUE	
sqlserver	text	text	col_text text	TRUE	TRUE	
sqlserver	time	time	col_time time	TRUE	TRUE	
sqlserver	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	
sqlserver	varbinary	binary	col_varbinary varbinary(100)	TRUE	FALSE	
sqlserver	varchar	string	col_varchar varchar(100)	TRUE	TRUE	
azuredwh	bigint	bigint	col_bigint bigint	TRUE	TRUE	
azuredwh	binary	binary	col_binary binary(100)	TRUE	FALSE	
azuredwh	bit	smallint	col_bit bit	FALSE	FALSE	
azuredwh	char	string	col_char char	TRUE	TRUE	
azuredwh	date	date	col_date date	TRUE	TRUE	
azuredwh	datetime	datetime	col_datetime datetime	TRUE	TRUE	
azuredwh	datetime2	datetime	col_datetime2 datetime2	TRUE	TRUE	
azuredwh	datetimeoffset	datetime	col_datetimeoffset datetimeoffset	TRUE	TRUE	
azuredwh	decimal	decimal	col_decimal decimal	TRUE	TRUE	
azuredwh	float	float	col_float float	TRUE	TRUE	
azuredwh	image	binary	col_image image	FALSE	FALSE	
azuredwh	int	integer	col_int int	TRUE	TRUE	
azuredwh	money	decimal	col_money money	TRUE	TRUE	
azuredwh	nchar	string	col_nchar nchar	TRUE	TRUE	
azuredwh	ntext	string	col_ntext ntext	TRUE	TRUE	
azuredwh	numeric	decimal	col_numeric numeric	TRUE	TRUE	
azuredwh	nvarchar	string	col_nvarchar nvarchar	TRUE	TRUE	
azuredwh	real	decimal	col_real real	TRUE	TRUE	
azuredwh	smalldatetime	datetime	col_smalldatetime smalldatetime	TRUE	TRUE	
azuredwh	smallint	smallint	col_smallint smallint	TRUE	TRUE	
azuredwh	smallmoney	decimal	col_smallmoney smallmoney	TRUE	TRUE	
azuredwh	time	time	col_time time	TRUE	TRUE	
azuredwh	tinyint	smallint	col_tinyint tinyint	TRUE	TRUE	
azuredwh	varbinary	binary	col_varbinary varbinary(100)	FALSE	FALSE	
azuredwh	varchar	string	col_varchar varchar	TRUE	TRUE	
